Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"48046378","1","","","2018-01-01 00:00:29","","0","112","<p>Calling a <em>dll</em> from Python using <em>ctypes</em>, I want to pass a ctypes array to the <em>dll</em>.  Here is the Python code:</p>

<pre><code>ReturnVec = ctypes.c_float * len(arrA)
t = type(ReturnVec)
hllDll = ctypes.WinDLL(r""C:/Temp2/Test_Project_3B/Std_Math_Formulas.dll"")
SimpleTest = hllDll.SimpleTest
SimpleTest.argtypes = [ctypes.c_void_p, ctypes.POINTER(ctypes.c_float)]
SimpleTest.restype = ctypes.c_void_p
retvar = SimpleTest(ctypes.byref(pvarr),ctypes.c_float(ReturnVec))
</code></pre>

<p>The final line throws the error:</p>

<blockquote>
  <p>""TypeError: must be real number, not _ctypes.PyCArrayType.""</p>
</blockquote>

<p>The variable <code>t</code> shows that its type is <code>ctypes.PyCArrayType</code>.  The variable <code>ReturnVec</code> shows that its type is <code>c_floatarray_1000</code> (where <code>1000</code> is the length of the array).  </p>

<p>I try to cast it to a <code>float</code>:</p>

<pre><code>aq = ctypes.cast(ReturnVec, ctypes.c_float)
</code></pre>

<p>but it returns:</p>

<blockquote>
  <p>""&lt;class 'TypeError'&gt;: wrong type""</p>
</blockquote>

<p>I try to cast it to a pointer, I get the same thing:</p>

<pre><code>floatPtr = ctypes.cast(ReturnVec, ctypes.POINTER(ctypes.c_float))
</code></pre>

<p>I've researched this at length, and there are many threads on this issue, but none described my situation.  </p>
","8276973","","236247","","2018-01-01 03:16:54","2018-01-03 08:21:23","Python ctypes: how to pass ctypes array to DLL?","<python><ctypes>","2","0","","",""
"48046379","1","","","2018-01-01 00:00:32","","1","2162","<p>I have a Django app with which users can create video collages using multiple videos. Problem is, on production, when uploading videos to amazon s3, I get a 502 bad gateway (works fine locally). Does anyone know what could be wrong? I already set </p>

<pre><code>client_max_body_size 100M
</code></pre>

<p>and </p>

<pre><code>fastcgi_buffers 8 16k;
fastcgi_buffer_size 32k;
fastcgi_connect_timeout 3000;
fastcgi_send_timeout 3000;
fastcgi_read_timeout 3000;
</code></pre>

<p>Does anyone know what could be wrong? Thanks in advance</p>

<p>Full error: </p>

<pre><code>2017/12/31 23:50:51 [error] 1279#1279: *1 upstream prematurely closed connection while reading response header from upstream, 
client: 107.205.110.154, 
server: movingcollage.com, 
request: ""POST /create-collage/ HTTP/1.1"", 
upstream: ""http://unix:/home/mike/movingcollage/movingcollage.sock:/create-collage/"", 
host: ""movingcollage.com"", referrer: ""http://movingcollage.com/create-collage/""
</code></pre>
","1745384","","1745384","","2018-01-01 03:18:33","2018-01-11 23:14:31","nginx gunicorn 502 bad gateway: upstream prematurely closed connection while reading response header from upstream","<python><django><nginx>","1","0","1","",""
"48046380","2","","48046140","2018-01-01 00:00:33","","1","","<pre><code>db.collection.aggregate([
    {$group: { 
        _id: ""$parent.child.child_id"",
        timestamp: {$max: ""$parent.child.timestamp""}
    }},
    {$project: {
        cid: {$arrayElemAt: [""$_id"", 0]},
        ts: {$arrayElemAt: [""$timestamp"", 0]},
        _id: 0
    }},
    {$out: ""groupedCollection"" }
])
</code></pre>

<p>You are missing the <code>_id</code> which is mandatory for the <a href=""https://docs.mongodb.com/manual/reference/operator/aggregation/group/"" rel=""nofollow noreferrer""><code>$group</code></a> pipeline stage. That being said since the ""parent"" field in your document is one element array, the <code>$group</code> stage should be the first stage in the pipeline. </p>

<p>By making the <code>$group</code> stage the first stage, you will only need to project one document per group instead of all documents in the collection. </p>

<p>Note that the resulted document fields are array hence the use of the <a href=""https://docs.mongodb.com/manual/reference/operator/aggregation/arrayElemAt"" rel=""nofollow noreferrer""><code>$arrayElemAt</code></a> operator in the <a href=""https://docs.mongodb.com/manual/reference/operator/aggregation/project"" rel=""nofollow noreferrer""><code>$project</code></a> stage.</p>
","3100115","","","","","2018-01-01 00:00:33","","","","1","","",""
"48046381","2","","48045435","2018-01-01 00:00:48","","0","","<p>You can make a quick check for interests before saving them or use <code>.first_or_create</code> to create interest if it doesn't exist, like below:  </p>

<pre><code> def interests_list=value
    current_interest = value.split(',')
    unique_interest = current_interest - Interest.where(name: current_interest).pluck(:name)
    unique_interest.each do |interest|
      self.interests.build(:name =&gt; interest).save
    end
 end
</code></pre>
","3389795","","3389795","","2018-01-01 19:22:38","2018-01-01 19:22:38","","","","2","","",""
"48046382","1","","","2018-01-01 00:00:52","","0","55","<p>I'm trying to implement hittest that is used by ARkit.</p>

<p><a href=""https://developer.apple.com/documentation/arkit/arframe/2875718-hittest"" rel=""nofollow noreferrer"">https://developer.apple.com/documentation/arkit/arframe/2875718-hittest</a></p>

<p>I have my own line intersection, but I don't take account of the position and orientation of the Camera.</p>

<p>I already have the position and orientation of the camera, but how would I use it ?</p>

<pre><code>std::pair&lt;bool, double&gt;  linePlaneIntersection(Vec3f direction, Vec3f rayOrigin,
    Vec3f normal, Vec3f coord) {
    double denom = normalize(normal).dot(direction);
    double d = -(normalize(normal).dot(coord));

    if (std::abs(denom) &lt; std::numeric_limits&lt;double&gt;::epsilon())
    {
        // Parallel
        return std::pair&lt;bool, double&gt;(false, (double)0);
    }
    else
    {
        double nom = normalize(normal).dot(normalize(rayOrigin)) + d;
        double t = -(nom / denom);
        return std::pair&lt;bool, double&gt;(t &gt;= 0, (double)t);
    }

}

        Mat rot = (Mat_&lt;double&gt;(3, 3)
                &lt;&lt; 1, 0, 0,
                0, 1, 0,
                0, 0, 1);

            Mat translVec(3, 1, CV_64F);
            translVec.at&lt;double&gt;(0, 0) = 0;
            translVec.at&lt;double&gt;(1, 0) = 0;
            translVec.at&lt;double&gt;(2, 0) = 0;

    std::vector&lt;Ray&gt; rays;
            for (int i = 0; i &lt; points3DProjected.size(); i++)
            {

                Ray ray;

                ray.origin = Vec3f(translVec.at&lt;double&gt;(0, 0), translVec.at&lt;double&gt;(1, 0),
                    translVec.at&lt;double&gt;(2, 0));
                ray.direction = Vec3f(points3DProjected[i][0] - translVec.at&lt;double&gt;(0, 0),
                    points3DProjected[i][1] - translVec.at&lt;double&gt;(1, 0), points3DProjected[i][2] - translVec.at&lt;double&gt;(2, 0));
                ray.direction = normalize(ray.direction);
                rays.push_back(ray);
            }
</code></pre>

<p>Camera Orientation</p>

<pre><code>**[  0.8744617,  0.2258282, -0.4293233;
   0.0608088,  0.8270180,  0.5588771;
   0.4812683, -0.5148232,  0.7094631 ]**
</code></pre>

<p>Camera Position</p>

<pre><code>""position"": {
        ""x"": 21.408294677734375,
        ""y"": 531.1319580078125,
        ""z"": 705.74224853515625
    },
</code></pre>
","8794406","","","","","2018-01-01 00:00:52","Implementing hit test","<c++><opencv><3d><computer-vision><arkit>","0","0","","",""
"48046383","1","48047012","","2018-01-01 00:01:14","","1","199","<p>My response looks like this:</p>

<p>[
  {
    ""id"": 1,
    ""name"": ""TEST FORMAT"",
    ""value"": ""#####""
  }
]</p>

<p>I want to validate it like this:
And match response[0] == { id: 1, name: 'TEST FORMAT', value: '#####' }</p>

<p>But it gives me the error below:
ERROR com.intuit.karate - assertion failed: path: $[0].value, actual: '#####', expected: '#####', reason: unknown validator</p>
","9132922","","9132922","","2018-01-01 00:18:32","2018-01-01 03:42:13","How to validate response value containing the number sign #","<karate>","1","0","","",""
"48046384","1","48046468","","2018-01-01 00:01:25","","2","75","<p>I have a single view controller class that I reuse on multiple screens, on different screens I want to supply a different data source. My VC looks something like this:</p>

<pre><code>class SpotViewController: UIViewController {

    var dataSource: SpotDataSource!
}
</code></pre>

<p>Now I want to have two different Data Source Classes</p>

<pre><code>class PersonalSpotDataSource {}
class ExploreSpotDataSource {}
</code></pre>

<p>Now I want to create some sort of a shared protocol that makes the above two classes implmenent the following properties</p>

<pre><code>var spots: [Spot]
var title: String
</code></pre>

