<<<<<<< HEAD
qid,score,time,user_effort,calculated_effort,execution_time
q1,1,4,Low,0.2222222222222222,1261
q2,1,4,Regular,0.2222222222222222,1261
q3,1,7,High,0.3888888888888889,1261
q4,0.0,40,Regular,100,1261
q5,0.8,24,High,1.6666666666666667,1261
q6,1,4,Regular,0.2222222222222222,1261
q7,0.4,11,High,1.5277777777777777,1261
=======
qid,score,time,user_effort,calculated_effort,execution_time
q1,1,4,Low,0.2222222222222222,1261
q2,1,4,Regular,0.2222222222222222,1261
q3,1,7,High,0.3888888888888889,1261
q4,0.0,40,Regular,100,1261
q5,0.8,24,High,1.6666666666666667,1261
q6,1,4,Regular,0.2222222222222222,1261
q7,0.4,11,High,1.5277777777777777,1261
>>>>>>> 53cd6c397189f1ce07aced2fc1dcfb97d3d48492
