Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId
"83112682","48066440","0","Can you check something first? Can you take a look in the folder `/etc/spark/conf/` check if there is a kerberos file called spark.keytab or anything like that.","2018-01-03 00:00:11","","6095508"
"83112683","48068478","0","U'r right! Ok thx a lot, this works. However another problem occurs: when the editor writes 'http://' in the record, 'http//' is printed withour the ':'.
Do you have any idea why this might be?","2018-01-03 00:00:19","","3106924"
"83112684","48069455","1","The while loop will run forever, so I would imagine it's not getting to the second loop...","2018-01-03 00:00:22","","6864876"
"83112685","48069125","1","Ah, yes. I didn't see that. I just hate seeing the same conceptual name used at multiple levels. I also find it exceedingly confusing to have an `Orders` entity that represents a single `Order` plus shipping `AdditionalInfo`.","2018-01-03 00:00:27","","1271826"
"83112686","48069444","0","no, it is not. The project is a .NET Core 1.1 project","2018-01-03 00:00:30","","2581562"
"83112687","48069312","0","Use `overflow-y: scroll;` instead. `auto` seems to always create scrollbars.","2018-01-03 00:00:34","","3744304"
"83112688","48069242","0","what should we do ?","2018-01-03 00:00:37","","9165750"
"83112689","48066164","0","I deleted the navigation menu item in wordpress admin not mysql.","2018-01-03 00:00:40","","7570089"
"83112690","48069327","0","Rotating the ScrollViewer will not change your image data. Can you try [this helper class](https://stackoverflow.com/questions/6222053/problem-reading-jpeg-metadata-orientation/38459903#38459903) and see if changing the EXIF data of your image saves the image correctly?","2018-01-03 00:00:42","","4183988"
"83112693","48069448","0","I had closed closed and opened php, forgot to add that have updated post now. Tried your suggestion also still no luck.","2018-01-03 00:00:55","","9027540"
"83112694","48069359","0","its empty ndarray","2018-01-03 00:00:58","","8893169"
"83112695","48069369","0","@CodingYoshi I have no issues without using the above to define my connections it works fine but when i switch on the fly it fails with that error !","2018-01-03 00:01:01","","651887"
"83112696","48069450","0","ok. I did the opposite, you're right. But I'm more worried about the instance variable setting.","2018-01-03 00:01:05","","4555765"
"83112697","48065090","0","You may need admin privalages to access the Enchantments.","2018-01-03 00:01:06","","8390068"
"83112698","47543151","0","Just to verify, do you have content in your NXRM server?  It is a common misconception that the search/browse shows the remote repositories.  In fact, you need to have content in there to be shown in the current versions.","2018-01-03 00:01:12","","4368068"
"83112699","48016987","1","I was referring to Google Cloud Support. I think you can reach out to them. If you can’t get anything back, feel free to email me with a lot of logs and repro steps (ahmetb/at/google/com). But try talking to the support first please.","2018-01-03 00:01:13","","54929"
"83112701","48069432","0","You can also do it with the concatenation when using brackets: `""blah blah "".($sales->data + 3)."" more blah""`","2018-01-03 00:01:17","","2443226"
"83112702","48069404","0","@R.. total ordering on NaNs,with `memcmp` seems reasonable yet with a 80-bit `long double` using a 12 or 16 byte memory, I should get stable results, but unclear on order or if some other issues occurs because of the padding.  Perhaps using `10` and not `sizeof *x` in that case is sufficient ?","2018-01-03 00:01:27","","2410359"
"83112703","19844326","0","Away from basics there is a lot missing on minimal installations.  Also it's useful if you don't want to show them the source code without a struggle.  A useful feature in closed source apps (not that's what we want on Linux but still)","2018-01-03 00:01:34","","8372104"
"83112704","48068427","0","flipping the quotes worked, but the file doesn't tell me much.  updated answer","2018-01-03 00:01:40","","652688"
"83112705","48069289","3","Running more than one instance?","2018-01-03 00:01:41","","1364723"
"83112706","48069083","0","Rufus did my suggested solution worked for you?","2018-01-03 00:01:41","user9081948",""
"83112708","48032687","0",":P hehe, I understand and thanks for the help :) I'll experiment it later, maybe this is a personal question but related to the code above, **where can I learn this part because honestly I'm just a newbie:**

`$contents   =   array_values(array_filter(scandir($dir),function($v) use ($dir){
        if(in_array($v,['.','..']))
            return false;

        if(is_dir($dir.'/'.$v))
            return false;

        return true;
    }));`","2018-01-03 00:01:56","","9147679"
"83112709","48069444","0","doesn't matter, the SDK is only tooling, it is backwards compatible. if you change/remove the global.json and re-open VS, it should load newer targets and may (?) work around a nuget issue","2018-01-03 00:01:58","","784387"
"83112710","48069242","0","Remove `d-flex justify-content-start`. Notice the code you showed here is different from the one in your question.","2018-01-03 00:02:01","","3744304"
"83112711","48069482","0","Google apps script does not allow these tags. I think it's because the app is run within an iframe","2018-01-03 00:02:06","","4708154"
"83112712","48069359","0","...of what shape?","2018-01-03 00:02:11","","4671908"
"83112714","48066932","0","hi @ConnorsFan, I edited my original post with the new code snippets, Still i get errors. It says "" Cannot read property 'compChannel' of undefined""","2018-01-03 00:02:21","","3826733"
"83112715","48069380","3","Beware that Swing is single thread and NOT thread safe. This means that if your operation is long running (or blocks for some reason), you will need to perform the operation on separate thread, but, you should also never update the the UI from outside the context of the Event Dispatching Thread. To this end a `SwingWorker` might be suitable to perform the long running operations, as it provides the ability to `process` updates on the EDT, allowing for you to update the UI as required.","2018-01-03 00:02:21","","992484"
"83112717","48069432","0","@Ezekiel the problem is solved what you suggest. i was missing some basic stuff . Thanks","2018-01-03 00:02:24","","9165900"
"83112718","48069378","0","You are creating a generic parameter named the same as the class, and that name takes precedence over the class","2018-01-03 00:02:39","","2141621"
"83112719","48067823","1","You're welcome. If you get that much working, I would suggest trying the JSON format instead - and perhaps using Underscore.js'  template() function to generate the HTML instead. AJAX wasn't really designed for transferring HTML.","2018-01-03 00:02:45","","9112798"
"83112720","48069491","1","something like: http://php.net/manual/en/book.bcompiler.php","2018-01-03 00:02:46","user8011997",""
"83112721","18296281","0","This only works for integers in the range of ``uint8``. E.g. ``np.unpackbits(np.array([2**17], dtype=""uint16"").view(""uint8""))`` will return an array of zeros.","2018-01-03 00:02:54","","2858145"
"83112722","48066647","0","The error indicates that the URL in question is `/socket.io/` but your balancer configuration says `/socket.io`.  That seems significant.  Perhaps the correct configuration for the balancer would be `/socket.io*`?","2018-01-03 00:02:58","","1695906"
"83112723","11458504","1","@OregonGhost yeah I made a wrapper class with a stack of overloads e.g. `Log(string format, [CallerFilePath]..)`, `Log(string format, object o1, [CallerFilePath]...)`, `Log(string format, object o1, object o2, [CallerFilePath]...)` etc. This is unpleasant and not ideal, but is the most practiceable solution I've found so far.","2018-01-03 00:03:10","","142456"
"83112724","48069476","2","You beat me to it.  Here's the [SQLFiddle](http://sqlfiddle.com/#!9/093092/2) in case OP wants it.","2018-01-03 00:03:12","","2655263"
"83112727","48069444","0","got to the project's properties, verify that its really targeting .Net Core 1.1. An accidental mouse scrolling could have changed that. The problem is probably with the WebApplicationCoreTest project","2018-01-03 00:03:27","","2033402"
"83112729","48068978","0","I used this code, but it works only if I draw the part I want cropped, and both images are grayscale https://www.mathworks.com/matlabcentral/answers/uploaded_files/48912/copy_paste_image_freehand.m","2018-01-03 00:03:56","","9165767"
