Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"154306485","48069389","2","","2018-01-03 00:00:00",""
"154306486","560123","2","","2018-01-03 00:00:00",""
"154306487","32290914","2","","2018-01-03 00:00:00",""
"154306488","19765942","2","","2018-01-03 00:00:00",""
"154306489","5809133","2","","2018-01-03 00:00:00",""
"154306490","48069472","2","","2018-01-03 00:00:00",""
"154306491","48027829","1","","2018-01-03 00:00:00",""
"154306492","43314328","2","","2018-01-03 00:00:00",""
"154306493","7922169","2","","2018-01-03 00:00:00",""
"154306494","48069422","2","","2018-01-03 00:00:00",""
"154306495","32287789","2","","2018-01-03 00:00:00",""
"154306496","48069484","3","","2018-01-03 00:00:00",""
"154306497","38712525","2","","2018-01-03 00:00:00",""
"154306498","642735","2","","2018-01-03 00:00:00",""
"154306499","48069447","2","","2018-01-03 00:00:00",""
"154306500","43864696","2","","2018-01-03 00:00:00",""
"154306501","48069484","3","","2018-01-03 00:00:00",""
"154306502","45739826","2","","2018-01-03 00:00:00",""
"154306503","37950970","2","","2018-01-03 00:00:00",""
"154306504","28100760","2","","2018-01-03 00:00:00",""
"154306505","45739303","2","","2018-01-03 00:00:00",""
"154306506","1086415","3","","2018-01-03 00:00:00",""
"154306507","48067857","3","","2018-01-03 00:00:00",""
"154306508","14608075","5","3950092","2018-01-03 00:00:00",""
"154306509","48068478","2","","2018-01-03 00:00:00",""
"154306510","7855298","2","","2018-01-03 00:00:00",""
"154306512","48065526","16","","2018-01-03 00:00:00",""
"154306513","46837190","3","","2018-01-03 00:00:00",""
"154306515","48069101","10","","2018-01-03 00:00:00",""
"154306516","46837051","3","","2018-01-03 00:00:00",""
"154306517","2092847","2","","2018-01-03 00:00:00",""
"154306518","46831687","3","","2018-01-03 00:00:00",""
"154306519","2092811","2","","2018-01-03 00:00:00",""
"154306520","21638269","2","","2018-01-03 00:00:00",""
"154306521","46834292","3","","2018-01-03 00:00:00",""
"154306523","47900132","2","","2018-01-03 00:00:00",""
"154306524","46830992","3","","2018-01-03 00:00:00",""
"154306525","47900132","1","","2018-01-03 00:00:00",""
"154306526","30711128","2","","2018-01-03 00:00:00",""
"154306527","25373254","2","","2018-01-03 00:00:00",""
"154306528","46833032","3","","2018-01-03 00:00:00",""
"154306529","46832150","3","","2018-01-03 00:00:00",""
"154306530","48069452","2","","2018-01-03 00:00:00",""
"154306531","52719","2","","2018-01-03 00:00:00",""
"154306532","46830803","3","","2018-01-03 00:00:00",""
"154306533","43379595","2","","2018-01-03 00:00:00",""
"154306534","309424","5","935122","2018-01-03 00:00:00",""
"154306535","339007","2","","2018-01-03 00:00:00",""
